user_text,age_group,sex,body_part,red_flags_present,duration_days,pain_score,symptom_count,primary_disease
"today i noticed itchy eyes, blocked nose and shortness of breath today. my pain score is 2 out of 10.",older adult,female,head,no,0,2,3,allergic rhinitis
i've got bad taste and tooth pain today. my pain score is 2 out of 10.,teen,female,mouth/face,no,0,2,2,dental abscess
"today i noticed fever, dry cough, diarrhea, headache and body aches for 7 days. my pain score is 6 out of 10.",adult,not specified,whole body,no,7,6,5,covid-like viral illness
"i am experiencing difficulty moving, injury and swelling for 3 days. my pain score is 2 out of 10.",older adult,male,arm/leg,no,3,2,3,fracture or sprain
"i feel fatigue, productive cough, mild fever, chest discomfort and sore throat for 1 day. my pain score is 3 out of 10.",adult,female,chest,yes,1,3,5,bronchitis
"i have cloudy urine, lower abdominal pain, frequent urination and fever for 4 days. my pain score is 4 out of 10.",older adult,male,pelvis/abdomen,no,4,4,4,urinary tract infection
i am experiencing red patches and dry skin for 1 day. my pain score is 2 out of 10.,older adult,male,skin,no,1,2,2,eczema flare
"i am experiencing facial pressure, headache, thick nasal discharge, fever, tooth pain, reduced smell, confusion and severe headache for 13 days. my pain score is 8 out of 10.",adult,male,head,yes,13,8,8,sinusitis
my symptoms are warm skin and swelling for 3 days. my pain score is 2 out of 10.,adult,female,skin/leg/arm,yes,3,2,2,cellulitis
"i am experiencing tooth pain, bad taste, gum swelling, facial swelling and nausea for 2 days. my pain score is 2 out of 10.",teen,not specified,mouth/face,yes,2,2,5,dental abscess
"i am experiencing chest pain when breathing, cough and green mucus for 7 days. my pain score is 4 out of 10.",adult,not specified,chest,yes,7,4,3,pneumonia
"for the last few days i have had fatigue, mild fever and cough for 1 day. my pain score is 3 out of 10.",older adult,male,chest,no,1,3,3,bronchitis
"i have fever, fast heartbeat, very unwell and shivering for 3 days. my pain score is 3 out of 10.",adult,male,whole body,yes,3,3,4,sepsis
"i've got shivering, very unwell, fast heartbeat, fever, vomiting, reduced urination and weakness for 3 days. my pain score is 3 out of 10.",teen,male,whole body,no,3,3,7,sepsis
"i am experiencing racing heart, chest tightness, fear and trembling for 2 days. my pain score is 1 out of 10.",adult,not specified,chest/whole body,yes,2,1,4,anxiety or panic attack
"i feel increased thirst, blurred vision, fatigue and dry mouth for 7 days. my pain score is 3 out of 10.",child,male,whole body,no,7,3,4,hyperglycemia
"my symptoms are frequent urination, blurred vision, increased thirst and shaking for 2 days. my pain score is 3 out of 10.",teen,female,whole body,no,2,3,4,hyperglycemia
"for the last few days i have had dry mouth, dark urine, thirst, reduced urination, headache and ate suspicious food for 6 days. my pain score is 5 out of 10.",adult,not specified,whole body,yes,6,5,6,dehydration
"today i noticed sudden confusion, face drooping, arm weakness, dizziness, loss of balance, cannot speak, weakness on one side and fear for 2 days. my pain score is 7 out of 10.",teen,not specified,head/face/arm,yes,2,7,8,stroke
"i have body aches, fever, fatigue, headache and dry cough for 3 days. my pain score is 4 out of 10.",adult,male,whole body,yes,3,4,5,influenza
"i have dull headache, pressure around head, fatigue and blocked nose for 3 days. my pain score is 4 out of 10.",older adult,male,head,yes,3,4,4,tension headache
"i have chest tightness, chest pressure, sweating, pain spreading to arm, shortness of breath and jaw pain for 6 days. my pain score is 4 out of 10.",older adult,male,chest,no,6,4,6,heart attack
"i am experiencing fever, chest pain when breathing, cough, shortness of breath, green mucus, fatigue, low oxygen and severe shortness of breath for 11 days. my pain score is 7 out of 10.",teen,male,chest,yes,11,7,8,pneumonia
"my symptoms are shortness of breath, cough, chest tightness, waking at night, exercise trigger, needs reliever inhaler and fear for 5 days. my pain score is 4 out of 10.",child,male,chest,no,5,4,7,asthma flare
"for the last few days i have had muscle tightness, recent lifting, bruising, reduced range of motion and swelling for 6 days. my pain score is 4 out of 10.",child,female,back/arm/leg,no,6,4,5,muscle strain
"i feel dull headache, pressure around head, fatigue, mild nausea, poor sleep and dark urine for 2 days. my pain score is 4 out of 10.",child,male,head,no,2,4,6,tension headache
"for the last few days i have had light sensitivity, neck stiffness, fever and vomiting for 5 days. my pain score is 7 out of 10.",teen,male,head/neck,no,5,7,4,meningitis
"my symptoms are fever, burning urination, flank pain, nausea, vomiting and right lower abdominal pain for 7 days. my pain score is 5 out of 10.",child,male,back/abdomen,no,7,5,6,kidney infection
"i have sweating, weakness, shaking, dizziness, confusion, fast heartbeat and headache for 5 days. my pain score is 6 out of 10.",child,female,whole body,no,5,6,7,hypoglycemia
"today i noticed right lower abdominal pain, fever, nausea, loss of appetite, vomiting, pain worse with movement, abdominal tenderness, fainting and rigid abdomen for 5 days. my pain score is 8 out of 10.",child,female,abdomen,yes,5,8,9,appendicitis
"today i noticed speech difficulty, face drooping, arm weakness, dizziness, vision trouble, cannot speak and one-sided headache for 9 days. my pain score is 7 out of 10.",adult,female,head/face/arm,yes,9,7,7,stroke
"i feel cloudy urine, lower abdominal pain, back pain and very unwell today. my pain score is 7 out of 10.",teen,not specified,pelvis/abdomen,yes,0,7,4,urinary tract infection
"for the last few days i have had lower abdominal pain, cloudy urine and frequent urination for 2 days. my pain score is 2 out of 10.",older adult,male,pelvis/abdomen,yes,2,2,3,urinary tract infection
"for the last few days i have had recent lifting, localized pain, pain worse with movement and muscle tightness for 2 days. my pain score is 2 out of 10.",child,female,back/arm/leg,no,2,2,4,muscle strain
"i have chest tightness, chest pressure, sweating, nausea, shortness of breath, jaw pain and fainting for 11 days. my pain score is 10 out of 10.",child,female,chest,yes,11,10,7,heart attack
"i am experiencing sweating, chest pressure and chest tightness today. my pain score is 3 out of 10.",teen,not specified,chest,no,0,3,3,heart attack
"i am experiencing fever, shivering, fast heartbeat, very unwell and weakness for 2 days. my pain score is 6 out of 10.",older adult,male,whole body,no,2,6,5,sepsis
"my symptoms are itchy eye, red eye, watery eye, eye discharge, mild eyelid swelling, light sensitivity and itchy eyes for 2 days. my pain score is 7 out of 10.",child,male,eye,no,2,7,7,conjunctivitis
"today i noticed diarrhea, ate suspicious food, stomach cramps, fever, weakness and dark urine for 2 days. my pain score is 5 out of 10.",older adult,male,abdomen,yes,2,5,6,food poisoning
"i have sore throat, sneezing, mild cough, blocked nose, fatigue, headache and fever for 7 days. my pain score is 6 out of 10.",adult,male,head/chest,yes,7,6,7,common cold
"my symptoms are chest tightness, nausea, chest pressure, sweating, pain spreading to arm, jaw pain and shortness of breath for 7 days. my pain score is 7 out of 10.",older adult,not specified,chest,no,7,7,7,heart attack
i am experiencing swelling and difficulty moving for 2 days. my pain score is 3 out of 10.,child,male,arm/leg,yes,2,3,2,fracture or sprain
"my symptoms are pressure around head, stress, neck tightness and dull headache for 3 days. my pain score is 3 out of 10.",teen,not specified,head,no,3,3,4,tension headache
"i feel cloudy urine, frequent urination and lower abdominal pain for 1 day. my pain score is 3 out of 10.",child,not specified,pelvis/abdomen,no,1,3,3,urinary tract infection
"my symptoms are watery eyes, blocked nose, runny nose, poor sleep, sinus pressure and cough for 3 days. my pain score is 4 out of 10.",adult,not specified,head,no,3,4,6,allergic rhinitis
"today i noticed sound sensitivity, nausea and visual aura for 2 days. my pain score is 6 out of 10.",child,not specified,head,no,2,6,3,migraine
"for the last few days i have had facial swelling, gum swelling, tooth pain, bad taste, fever, swollen glands and pain chewing for 2 days. my pain score is 4 out of 10.",child,not specified,mouth/face,no,2,4,7,dental abscess
"today i noticed fear, trembling, dizziness, tingling fingers and sweating for 4 days. my pain score is 5 out of 10.",adult,not specified,chest/whole body,no,4,5,5,anxiety or panic attack
"i have fatigue, body aches, sore throat, loss of appetite and difficulty breathing for 13 days. my pain score is 8 out of 10.",teen,female,whole body,yes,13,8,5,influenza
"i have fatigue, shortness of breath on exertion and dizziness for 2 days. my pain score is 3 out of 10.",adult,male,whole body,no,2,3,3,anemia
"my symptoms are nausea, upper abdominal pain, loss of appetite and vomiting for 1 day. my pain score is 3 out of 10.",teen,female,abdomen,no,1,3,4,gastritis
"for the last few days i have had watery eye, red eye, eye discharge, gritty feeling, light sensitivity and blocked nose for 2 days. my pain score is 3 out of 10.",child,male,eye,no,2,3,6,conjunctivitis
"today i noticed recent lifting, pain worse with movement and muscle tightness for 2 days. my pain score is 1 out of 10.",older adult,not specified,back/arm/leg,no,2,1,3,muscle strain
"my symptoms are skin pain, warm skin, spreading redness and pus for 5 days. my pain score is 6 out of 10.",adult,male,skin/leg/arm,yes,5,6,4,cellulitis
"for the last few days i have had facial pressure, headache, thick nasal discharge, reduced smell, fever, tooth pain and watery eyes for 7 days. my pain score is 6 out of 10.",adult,male,head,no,7,6,7,sinusitis
"i am experiencing facial pressure, headache, fever, reduced smell, tooth pain and sound sensitivity for 4 days. my pain score is 6 out of 10.",adult,male,head,no,4,6,6,sinusitis
"today i noticed warm skin, skin pain, red skin and pus for 7 days. my pain score is 5 out of 10.",teen,male,skin/leg/arm,no,7,5,4,cellulitis
"for the last few days i have had nausea, fever, right lower abdominal pain, loss of appetite, abdominal tenderness, severe abdominal pain and ate suspicious food for 6 days. my pain score is 10 out of 10.",teen,not specified,abdomen,yes,6,10,7,appendicitis
"for the last few days i have had sneezing, sore throat, mild cough, fatigue, headache and difficulty breathing for 9 days. my pain score is 7 out of 10.",child,not specified,head/chest,yes,9,7,6,common cold
"for the last few days i have had runny nose, watery eyes, sneezing, sinus pressure, cough, poor sleep, difficulty breathing and swelling of lips for 10 days. my pain score is 9 out of 10.",teen,female,head,yes,10,9,8,allergic rhinitis
"i feel wheezing, shortness of breath and cough for 2 days. my pain score is 2 out of 10.",child,female,chest,yes,2,2,3,asthma flare
"today i noticed fatigue, frequent urination and blurred vision for 1 day. my pain score is 2 out of 10.",older adult,not specified,whole body,yes,1,2,3,hyperglycemia
"i am experiencing swelling, skin pain, warm skin, red skin and pus for 5 days. my pain score is 3 out of 10.",child,not specified,skin/leg/arm,no,5,3,5,cellulitis
"i feel diarrhea, vomiting, stomach cramps and dehydration for 4 days. my pain score is 3 out of 10.",teen,not specified,abdomen,no,4,3,4,gastroenteritis
"for the last few days i have had sour taste, burning chest discomfort, acid reflux and heartburn for 2 days. my pain score is 3 out of 10.",child,not specified,chest/abdomen,yes,2,3,4,gerd
"for the last few days i have had hunger, shaking, dizziness, weakness and confusion for 7 days. my pain score is 4 out of 10.",older adult,female,whole body,no,7,4,5,hypoglycemia
"i am experiencing severe headache, fever, light sensitivity, drowsiness and vomiting for 5 days. my pain score is 6 out of 10.",adult,female,head/neck,no,5,6,5,meningitis
i feel sour taste and burning chest discomfort for 3 days. my pain score is 1 out of 10.,older adult,not specified,chest/abdomen,no,3,1,2,gerd
"i feel weakness, sweating, hunger, shaking, headache, confusion, fast heartbeat and chest tightness for 3 days. my pain score is 4 out of 10.",older adult,not specified,whole body,no,3,4,8,hypoglycemia
"i feel thick nasal discharge, blocked nose, facial pressure, tooth pain, fever and nausea for 4 days. my pain score is 5 out of 10.",older adult,male,head,no,4,5,6,sinusitis
"i've got shaking, sweating and confusion for 2 days. my pain score is 7 out of 10.",teen,not specified,whole body,yes,2,7,3,hypoglycemia
"i am experiencing mild fever, chest discomfort, productive cough and fatigue for 3 days. my pain score is 2 out of 10.",teen,not specified,chest,no,3,2,4,bronchitis
i've got racing heart and fear for 2 days. my pain score is 3 out of 10.,older adult,not specified,chest/whole body,no,2,3,2,anxiety or panic attack
"for the last few days i have had pressure around head, neck tightness, poor sleep and fatigue for 5 days. my pain score is 4 out of 10.",adult,female,head,no,5,4,4,tension headache
"i've got arm weakness, speech difficulty, face drooping, sudden confusion, vision trouble, loss of balance, cannot speak and weakness on one side for 10 days. my pain score is 7 out of 10.",child,male,head/face/arm,yes,10,7,8,stroke
"for the last few days i have had sneezing, blocked nose, runny nose, fever, headache, fatigue and loss of smell for 7 days. my pain score is 4 out of 10.",adult,not specified,head/chest,yes,7,4,7,common cold
"i am experiencing itchy eyes, runny nose, sneezing, blocked nose, sinus pressure and poor sleep for 4 days. my pain score is 5 out of 10.",older adult,not specified,head,no,4,5,6,allergic rhinitis
"today i noticed dry skin, scaly skin, red patches, sleep disturbance and warm skin for 5 days. my pain score is 7 out of 10.",adult,female,skin,yes,5,7,5,eczema flare
my symptoms are blocked nose and mild cough for 1 day. my pain score is 3 out of 10.,child,female,head/chest,no,1,3,2,common cold
"i have cough, wheezing and chest tightness today. my pain score is 2 out of 10.",adult,female,chest,no,0,2,3,asthma flare
"for the last few days i have had dizziness, dry mouth, fatigue, thirst, headache, fast heartbeat and ate suspicious food for 7 days. my pain score is 3 out of 10.",older adult,male,whole body,no,7,3,7,dehydration
my symptoms are chest tightness and cough today. my pain score is 2 out of 10.,older adult,male,chest,yes,0,2,2,asthma flare
"i have ate suspicious food, stomach cramps and dehydration for 6 days. my pain score is 4 out of 10.",teen,female,abdomen,no,6,4,3,food poisoning
"i feel trembling, shortness of breath, racing heart and chest tightness today. my pain score is 3 out of 10.",teen,male,chest/whole body,no,0,3,4,anxiety or panic attack
"my symptoms are fatigue, productive cough, chest discomfort, mucus, wheezing and persistent chest pain for 5 days. my pain score is 9 out of 10.",older adult,female,chest,yes,5,9,6,bronchitis
"today i noticed burning chest discomfort, sour taste, acid reflux, cough after meals, worse lying down and loss of appetite for 6 days. my pain score is 5 out of 10.",adult,not specified,chest/abdomen,yes,6,5,6,gerd
"i have mild fever, fatigue, productive cough and wheezing today. my pain score is 2 out of 10.",older adult,male,chest,no,0,2,4,bronchitis
"i've got fever, very unwell, fast heartbeat, reduced urination, vomiting, no urination all day and rapid breathing for 7 days. my pain score is 7 out of 10.",child,female,whole body,yes,7,7,7,sepsis
"today i noticed blocked nose, watery eyes, runny nose and sinus pressure for 3 days. my pain score is 4 out of 10.",older adult,female,head,no,3,4,4,allergic rhinitis
"i feel fever, flank pain, chills, blood in urine, vomiting and muscle tightness for 2 days. my pain score is 7 out of 10.",child,not specified,back/abdomen,yes,2,7,6,kidney infection
"today i noticed chest pressure, nausea, chest tightness, sweating, shortness of breath, pain spreading to arm, crushing chest pain and fainting for 4 days. my pain score is 10 out of 10.",teen,not specified,chest,yes,4,10,8,heart attack
"i've got racing heart, shortness of breath, chest tightness and fear today. my pain score is 2 out of 10.",child,not specified,chest/whole body,yes,0,2,4,anxiety or panic attack
"i've got red eye, watery eye, itchy eye, light sensitivity and gritty feeling for 2 days. my pain score is 7 out of 10.",older adult,male,eye,no,2,7,5,conjunctivitis
"i have loss of appetite, bloating, nausea, upper abdominal pain, indigestion, vomiting, heartburn and burning chest discomfort for 3 days. my pain score is 4 out of 10.",teen,male,abdomen,yes,3,4,8,gastritis
i feel thirst and dizziness today. my pain score is 2 out of 10.,older adult,male,whole body,yes,0,2,2,dehydration
"my symptoms are itchy eyes, runny nose, watery eyes, blocked nose, sinus pressure, cough and wheezing for 2 days. my pain score is 6 out of 10.",adult,not specified,head,yes,2,6,7,allergic rhinitis
"my symptoms are sweating, chest pressure, jaw pain, fainting and severe shortness of breath for 4 days. my pain score is 9 out of 10.",older adult,not specified,chest,yes,4,9,5,heart attack
i feel chest tightness and shortness of breath for 2 days. my pain score is 2 out of 10.,teen,not specified,chest/whole body,no,2,2,2,anxiety or panic attack
"today i noticed dizziness, fatigue, pale skin, shortness of breath on exertion and headache for 2 days. my pain score is 5 out of 10.",adult,male,whole body,no,2,5,5,anemia
"my symptoms are loss of appetite, fever, right lower abdominal pain, vomiting, pain worse with movement, abdominal tenderness, severe abdominal pain and fainting for 10 days. my pain score is 7 out of 10.",adult,not specified,abdomen,yes,10,7,8,appendicitis
"i am experiencing pressure around head, stress, neck tightness, dull headache and nausea today. my pain score is 3 out of 10.",older adult,female,head,no,0,3,5,tension headache
"i feel dizziness, fatigue, thirst, dark urine, fast heartbeat, reduced urination and headache for 4 days. my pain score is 7 out of 10.",child,not specified,whole body,yes,4,7,7,dehydration
"i feel face drooping, speech difficulty, dizziness, loss of balance, vision trouble, cannot speak, weakness on one side and trembling for 4 days. my pain score is 9 out of 10.",older adult,not specified,head/face/arm,yes,4,9,8,stroke
"i have vomiting, stomach cramps and sore throat for 3 days. my pain score is 3 out of 10.",older adult,male,abdomen,no,3,3,3,gastroenteritis
"my symptoms are red patches, itchy rash, dry skin, scaly skin, oozing, cracked skin and sleep disturbance for 5 days. my pain score is 5 out of 10.",older adult,not specified,skin,no,5,5,7,eczema flare
"for the last few days i have had burning chest discomfort, heartburn, sour taste and acid reflux for 2 days. my pain score is 2 out of 10.",older adult,male,chest/abdomen,no,2,2,4,gerd
"i have chest discomfort, productive cough, fatigue, mild fever, shortness of breath and mucus for 5 days. my pain score is 4 out of 10.",older adult,female,chest,no,5,4,6,bronchitis
"for the last few days i have had fever, fast heartbeat, shivering, very unwell, reduced urination, vomiting, weakness, rapid breathing and confusion for 3 days. my pain score is 10 out of 10.",adult,female,whole body,yes,3,10,9,sepsis
"i've got chest tightness, nausea, jaw pain, pain spreading to arm and severe shortness of breath for 6 days. my pain score is 8 out of 10.",child,female,chest,yes,6,8,5,heart attack
"i am experiencing blurred vision, frequent urination, increased thirst, fatigue and nausea for 2 days. my pain score is 3 out of 10.",child,female,whole body,no,2,3,5,hyperglycemia
"i feel vomiting, nausea, dehydration, fever and body aches for 4 days. my pain score is 5 out of 10.",teen,not specified,abdomen,no,4,5,5,gastroenteritis
"today i noticed recent lifting, pain worse with movement and reduced range of motion for 3 days. my pain score is 4 out of 10.",older adult,not specified,back/arm/leg,no,3,4,3,muscle strain
"i feel nausea, sound sensitivity, dizziness and facial pressure for 7 days. my pain score is 7 out of 10.",older adult,female,head,no,7,7,4,migraine
"i am experiencing runny nose, sore throat, sneezing, blocked nose, fatigue, fever and headache for 5 days. my pain score is 6 out of 10.",teen,female,head/chest,no,5,6,7,common cold
i've got eye discharge and watery eye today. my pain score is 3 out of 10.,teen,not specified,eye,no,0,3,2,conjunctivitis
"i've got fever, light sensitivity, severe headache, neck stiffness, rash, vomiting, drowsiness and confusion for 3 days. my pain score is 10 out of 10.",older adult,female,head/neck,yes,3,10,8,meningitis
"my symptoms are red eye, eye discharge, itchy eye, watery eye and itchy eyes for 3 days. my pain score is 1 out of 10.",adult,not specified,eye,no,3,1,5,conjunctivitis
"i feel hunger, weakness, fast heartbeat, headache, confusion and cannot swallow for 11 days. my pain score is 9 out of 10.",teen,female,whole body,yes,11,9,6,hypoglycemia
"i feel nausea, diarrhea and vomiting for 3 days. my pain score is 3 out of 10.",adult,male,abdomen,yes,3,3,3,gastroenteritis
i feel nausea and stomach cramps for 1 day. my pain score is 2 out of 10.,older adult,female,abdomen,yes,1,2,2,gastroenteritis
"i feel sweating, dizziness, hunger, shaking, confusion, headache, fast heartbeat, unconscious and cannot swallow for 13 days. my pain score is 7 out of 10.",adult,male,whole body,yes,13,7,9,hypoglycemia
"i have dull headache, pressure around head, stress, poor sleep, fatigue and one-sided headache for 3 days. my pain score is 7 out of 10.",adult,female,head,no,3,7,6,tension headache
"my symptoms are acid reflux, sour taste, burning chest discomfort, heartburn, nausea and upper abdominal pain for 7 days. my pain score is 5 out of 10.",adult,male,chest/abdomen,yes,7,5,6,gerd
"for the last few days i have had chills, fatigue, loss of appetite and headache for 7 days. my pain score is 7 out of 10.",adult,male,whole body,yes,7,7,4,influenza
"today i noticed heartburn, burning chest discomfort, nausea and cough after meals for 5 days. my pain score is 4 out of 10.",adult,not specified,chest/abdomen,no,5,4,4,gerd
"my symptoms are flank pain, nausea, chills, vomiting, low blood pressure and sepsis signs for 3 days. my pain score is 9 out of 10.",older adult,not specified,back/abdomen,yes,3,9,6,kidney infection
"i've got chest pain when breathing, cough, chills and fatigue for 2 days. my pain score is 3 out of 10.",child,not specified,chest,yes,2,3,4,pneumonia
"i have body aches, chills, fatigue, dry cough and blocked nose for 1 day. my pain score is 1 out of 10.",older adult,not specified,whole body,no,1,1,5,influenza
"i am experiencing burning urination, cloudy urine, frequent urination, fever and back pain for 2 days. my pain score is 6 out of 10.",older adult,not specified,pelvis/abdomen,no,2,6,5,urinary tract infection
"i have runny nose, blocked nose, sore throat, sneezing and body aches for 1 day. my pain score is 2 out of 10.",teen,male,head/chest,no,1,2,5,common cold
"today i noticed shortness of breath, chest pain when breathing, chills, fatigue and low oxygen today. my pain score is 7 out of 10.",teen,not specified,chest,yes,0,7,5,pneumonia
"i feel fatigue, chest discomfort, productive cough and mild fever today. my pain score is 3 out of 10.",child,not specified,chest,no,0,3,4,bronchitis
"today i noticed racing heart, chest tightness, shortness of breath, trembling and sweating for 3 days. my pain score is 3 out of 10.",teen,male,chest/whole body,no,3,3,5,anxiety or panic attack
"i have joint pain, injury and severe tenderness for 2 days. my pain score is 7 out of 10.",child,not specified,arm/leg,no,2,7,3,fracture or sprain
today i noticed warm skin and swelling for 2 days. my pain score is 1 out of 10.,teen,female,skin/leg/arm,no,2,1,2,cellulitis
"i've got swelling, warm skin and very unwell for 3 days. my pain score is 1 out of 10.",child,male,skin/leg/arm,yes,3,1,3,cellulitis
"i am experiencing fear, chest tightness and chest pressure today. my pain score is 1 out of 10.",teen,female,chest/whole body,no,0,1,3,anxiety or panic attack
"i've got nausea, chest tightness, chest pressure, sweating, pain spreading to arm, shortness of breath and fainting for 4 days. my pain score is 8 out of 10.",adult,male,chest,yes,4,8,7,heart attack
"i've got neck tightness, stress, dull headache, pressure around head and blocked nose for 3 days. my pain score is 1 out of 10.",older adult,female,head,no,3,1,5,tension headache
"today i noticed red patches, itchy rash, dry skin and scaly skin for 2 days. my pain score is 1 out of 10.",older adult,male,skin,no,2,1,4,eczema flare
"i feel fatigue, loss of smell, headache and diarrhea for 4 days. my pain score is 7 out of 10.",adult,not specified,whole body,no,4,7,4,covid-like viral illness
"for the last few days i have had nausea, stomach cramps, ate suspicious food, weakness and dehydration for 3 days. my pain score is 5 out of 10.",adult,not specified,abdomen,no,3,5,5,food poisoning
"i feel swelling, skin pain, warm skin and red skin for 2 days. my pain score is 1 out of 10.",older adult,female,skin/leg/arm,no,2,1,4,cellulitis
"i have cloudy urine, burning urination, frequent urination, back pain, blood in urine and fever for 4 days. my pain score is 6 out of 10.",adult,not specified,pelvis/abdomen,no,4,6,6,urinary tract infection
"i have loss of appetite, bloating, indigestion, vomiting and heartburn for 7 days. my pain score is 7 out of 10.",teen,female,abdomen,yes,7,7,5,gastritis
"i have pressure around head, dull headache, stress, neck tightness, poor sleep, mild nausea, fatigue and thick nasal discharge for 5 days. my pain score is 4 out of 10.",adult,male,head,yes,5,4,8,tension headache
"i've got wheezing, shortness of breath, chest tightness, cough, needs reliever inhaler, exercise trigger, blue lips and cannot speak full sentences for 10 days. my pain score is 10 out of 10.",older adult,female,chest,yes,10,10,8,asthma flare
i feel shortness of breath and racing heart for 3 days. my pain score is 1 out of 10.,older adult,not specified,chest/whole body,yes,3,1,2,anxiety or panic attack
"today i noticed vomiting, diarrhea, stomach cramps, nausea and fever for 3 days. my pain score is 3 out of 10.",child,male,abdomen,yes,3,3,5,gastroenteritis
"for the last few days i have had dizziness, fatigue, shortness of breath on exertion, pale skin, headache and cold hands for 7 days. my pain score is 6 out of 10.",older adult,not specified,whole body,no,7,6,6,anemia
"i have arm weakness, face drooping, sudden confusion, loss of balance, vision trouble, weakness on one side and sudden severe headache for 1 day. my pain score is 9 out of 10.",adult,not specified,head/face/arm,yes,1,9,7,stroke
"i have cough, wheezing, chest tightness and shortness of breath for 3 days. my pain score is 3 out of 10.",child,male,chest,yes,3,3,4,asthma flare
"my symptoms are red eye, eye discharge and itchy eyes for 1 day. my pain score is 2 out of 10.",older adult,male,eye,no,1,2,3,conjunctivitis
"today i noticed pain worse with movement, localized pain, recent lifting and muscle tightness for 3 days. my pain score is 2 out of 10.",older adult,female,back/arm/leg,no,3,2,4,muscle strain
"i have facial swelling, tooth pain, bad taste and sound sensitivity for 3 days. my pain score is 3 out of 10.",child,not specified,mouth/face,no,3,3,4,dental abscess
"today i noticed body aches, chills, fever, loss of appetite, sore throat, headache and runny nose for 4 days. my pain score is 4 out of 10.",older adult,male,whole body,no,4,4,7,influenza
"i am experiencing blocked nose, runny nose, mild cough, fatigue, headache, fever and sore throat for 3 days. my pain score is 3 out of 10.",teen,female,head/chest,no,3,3,7,common cold
"i am experiencing shivering, fast heartbeat, very unwell, fever, weakness, rapid breathing and nausea for 6 days. my pain score is 8 out of 10.",adult,female,whole body,yes,6,8,7,sepsis
"i have diarrhea, vomiting and ate suspicious food today. my pain score is 1 out of 10.",child,female,abdomen,no,0,1,3,gastroenteritis
my symptoms are skin pain and red skin for 2 days. my pain score is 2 out of 10.,child,not specified,skin/leg/arm,no,2,2,2,cellulitis
"my symptoms are neck stiffness, fever, severe headache and light sensitivity for 2 days. my pain score is 1 out of 10.",adult,not specified,head/neck,no,2,1,4,meningitis
"today i noticed lower abdominal pain, burning urination, cloudy urine, frequent urination, fever, blood in urine, flank pain with fever and very unwell for 9 days. my pain score is 8 out of 10.",older adult,not specified,pelvis/abdomen,yes,9,8,8,urinary tract infection
"today i noticed runny nose, itchy eyes, watery eyes, blocked nose, cough, poor sleep, swelling of lips and difficulty breathing for 4 days. my pain score is 10 out of 10.",teen,not specified,head,yes,4,10,8,allergic rhinitis
"my symptoms are sudden confusion, speech difficulty, face drooping, loss of balance, vision trouble and weakness on one side for 14 days. my pain score is 9 out of 10.",older adult,male,head/face/arm,yes,14,9,6,stroke
"i have heartburn, burning chest discomfort, cough after meals, worse lying down and nausea for 6 days. my pain score is 3 out of 10.",older adult,male,chest/abdomen,no,6,3,5,gerd
"i feel fever, shortness of breath, cough, chest pain when breathing, chills, fatigue and sore throat for 6 days. my pain score is 3 out of 10.",older adult,not specified,chest,no,6,3,7,pneumonia
"i've got blocked nose, thick nasal discharge, headache and facial pressure for 3 days. my pain score is 1 out of 10.",teen,male,head,no,3,1,4,sinusitis
i have facial swelling and bad taste for 2 days. my pain score is 1 out of 10.,child,female,mouth/face,yes,2,1,2,dental abscess
"i am experiencing watery eye, eye discharge, red eye, itchy eye and nausea for 3 days. my pain score is 1 out of 10.",older adult,female,eye,no,3,1,5,conjunctivitis
"i feel fever, severe headache, light sensitivity, rash, non-blanching rash and confusion today. my pain score is 10 out of 10.",teen,not specified,head/neck,yes,0,10,6,meningitis
"i am experiencing dry skin, itchy rash and red patches for 1 day. my pain score is 2 out of 10.",child,male,skin,no,1,2,3,eczema flare
"i've got fatigue, productive cough, chest discomfort, mild fever, mucus, shortness of breath and wheezing for 4 days. my pain score is 7 out of 10.",adult,female,chest,yes,4,7,7,bronchitis
"for the last few days i have had joint pain, swelling, bruising and injury for 2 days. my pain score is 3 out of 10.",teen,not specified,arm/leg,no,2,3,4,fracture or sprain
i have skin pain and warm skin for 1 day. my pain score is 3 out of 10.,older adult,female,skin/leg/arm,no,1,3,2,cellulitis
"i have nausea, vomiting, ate suspicious food and diarrhea for 3 days. my pain score is 1 out of 10.",older adult,not specified,abdomen,yes,3,1,4,food poisoning
"for the last few days i have had mild fever, productive cough, shortness of breath, wheezing and mucus for 2 days. my pain score is 3 out of 10.",teen,not specified,chest,yes,2,3,5,bronchitis
"today i noticed dry skin, scaly skin, red patches, cracked skin, sleep disturbance and oozing for 6 days. my pain score is 3 out of 10.",older adult,female,skin,no,6,3,6,eczema flare
"today i noticed runny nose, itchy eyes, watery eyes, sneezing, cough, poor sleep, sinus pressure and shortness of breath for 4 days. my pain score is 4 out of 10.",child,not specified,head,yes,4,4,8,allergic rhinitis
"i feel cough, chest pain when breathing, fatigue and green mucus for 3 days. my pain score is 6 out of 10.",adult,not specified,chest,no,3,6,4,pneumonia
"today i noticed fatigue, dizziness, shortness of breath on exertion and pale skin for 1 day. my pain score is 2 out of 10.",adult,male,whole body,no,1,2,4,anemia
"i feel itchy rash, scaly skin and cracked skin for 6 days. my pain score is 7 out of 10.",child,male,skin,no,6,7,3,eczema flare
